Indicator,Difficulty,Missingness
I1_SDG_16.1.4,96.52,0
I2_DS_1.4.1,94.73,0
I3_DS_2.1.2,NA,0.69
I4_SDG_11.1.1,2.35,1.45
I5_DS_2.1.8,98.58,0
I6_SDG_4.1.2,93.75,30.98
I7_SDG_8.5.2,82.31,0
I8_SDG_8.5.2,10.38,1.31
I9_SDG_1.4.2,3.54,0.52
I10_DS_5.1.1,78.41,9.64
