Metric option,IDP households exiting the stock,Percentage exiting the stock
Pass/fail,0,0
1: Full composite,204,21.73
2: Composite at criterion level,5,0.53
3: Composite at subcriterion level,0,0
4: Homogeneous cells,0,0
5: Classifier/regression-based,344,36.63
6: Empirical cumulative density,63,6.76
