Metric option,IDP households exiting the stock,Percentage exiting the stock
Pass/fail,0,0
1: Full composite,276,1.52
2: Composite at criterion level,0,0
3: Composite at subcriterion level,0,0
4: Homogeneous cells,0,0
5: Classifier/regression-based,5,0.03
6: Empirical cumulative density,6,0.03
