Indicator,Difficulty,Missingness
I1_SDG_16.1.4,62.06,0.48
I3_DS_2.1.2,85.96,0
I4_SDG_11.1.1,84.77,0
I5_DS_2.1.8,70.34,0.48
I6_SDG_4.1.2,91.99,81.8
I7_SDG_8.5.2,97.49,10.64
I8_SDG_8.5.2,52.87,0
I9_SDG_1.4.2,95.64,0
I10_DS_5.1.1,99.94,0.48
